Comunidad Autónoma,Provincia,Casas Vacías
Andalucía,Almería,73222
Andalucía,Cádiz,70177
Andalucía,Córdoba,52951
Andalucía,Granada,90443
Andalucía,Huelva,42246
Andalucía,Jaén,62393
Andalucía,Málaga,152843
Andalucía,Sevilla,110966
Aragón,Huesca,29229
Aragón,Teruel,21075
Aragón,Zaragoza,67027
Asturias,Asturias,100714
Baleares,Illes Balears,105632
Canarias,Las Palmas,100486
Canarias,Santa Cruz de Tenerife,110966
Cantabria,Cantabria,49372
Castilla-La Mancha,Albacete,39770
Castilla-La Mancha,Ciudad Real,91113
Castilla-La Mancha,Cuenca,41008
Castilla-La Mancha,Guadalajara,42469
Castilla-La Mancha,Toledo,88866
Castilla y León,Ávila,37205
Castilla y León,Burgos,47811
Castilla y León,León,88307
Castilla y León,Palencia,17799
Castilla y León,Salamanca,123390
Castilla y León,Segovia,40669
Castilla y León,Soria,49372
Castilla y León,Valladolid,26627
Castilla y León,Zamora,40404
Cataluña,Barcelona,213002
Cataluña,Girona,76222
Cataluña,Lleida,40500
Cataluña,Tarragona,34784
Comunidad de Madrid,Madrid,187586
Comunidad Valenciana,Alicante,209487
Comunidad Valenciana,Castellón,77732
Comunidad Valenciana,Valencia,172546
Extremadura,Badajoz,61918
Extremadura,Cáceres,61082
Galicia,A Coruña,163194
Galicia,Lugo,25344
Galicia,Ourense,32856
Galicia,Pontevedra,123390
La Rioja,La Rioja,25344
Murcia,Murcia,103111
Navarra,Navarra,103111
País Vasco,Álava,10965
País Vasco,Bizkaia,34017
País Vasco,Gipuzkoa,24710
Ceuta,Ceuta,4089
Melilla,Melilla,2946
