Comunidades Autónomas, Provincias y Municipios;Consumo eléctrico;Total
Total Nacional;Viviendas totales;26.623.708
Total Nacional;Viviendas vacías;3.828.307
Total Nacional;Mediana consumo anual;2.196
Total Nacional;Viviendas con bajo consumo;941.637
Total Nacional;Viviendas de uso esporádico;2.517.628
Total Nacional;Viviendas de uso esporádico (entre 251 y 500 kwh);1.267.928
Total Nacional;Viviendas de uso esporádico (entre 501 y 750 kwh);1.249.700
Total Nacional;Viviendas con cosumo entre 751 y 1.000 kwh;1.330.224
Total Nacional;Viviendas con cosumo entre 1.001 y 2.000 kwh;5.953.540
Total Nacional;Viviendas con cosumo entre 2.001 y 3.000 kwh;4.967.228
Total Nacional;Viviendas con cosumo entre 3.001 y 4.000 kwh;3.023.283
Total Nacional;Viviendas con cosumo entre 4.001 y 5.000 kwh;1.649.827
Total Nacional;Viviendas con cosumo entre 5.001 y 6.000 kwh;895.098
Total Nacional;Viviendas con cosumo entre 6.001 y 7.000 kwh;504.422
Total Nacional;Viviendas con cosumo entre 7.001 y 8.000 kwh;301.424
Total Nacional;Viviendas con cosumo entre 8.001 y 9.000 kwh;190.731
Total Nacional;Viviendas con cosumo entre 9.001 y 10.000 kwh;128.611
Total Nacional;Viviendas con consumo mayor de 10.000 kwh;391.748
01 Andalucía;Viviendas totales;4.673.007
01 Andalucía;Viviendas vacías;641.572
01 Andalucía;Mediana consumo anual;2.497
01 Andalucía;Viviendas con bajo consumo;138.020
01 Andalucía;Viviendas de uso esporádico;415.900
01 Andalucía;Viviendas de uso esporádico (entre 251 y 500 kwh);208.674
01 Andalucía;Viviendas de uso esporádico (entre 501 y 750 kwh);207.226
01 Andalucía;Viviendas con cosumo entre 751 y 1.000 kwh;206.313
01 Andalucía;Viviendas con cosumo entre 1.001 y 2.000 kwh;881.281
01 Andalucía;Viviendas con cosumo entre 2.001 y 3.000 kwh;855.427
01 Andalucía;Viviendas con cosumo entre 3.001 y 4.000 kwh;634.983
01 Andalucía;Viviendas con cosumo entre 4.001 y 5.000 kwh;386.777
01 Andalucía;Viviendas con cosumo entre 5.001 y 6.000 kwh;213.678
01 Andalucía;Viviendas con cosumo entre 6.001 y 7.000 kwh;115.223
01 Andalucía;Viviendas con cosumo entre 7.001 y 8.000 kwh;63.694
01 Andalucía;Viviendas con cosumo entre 8.001 y 9.000 kwh;36.540
01 Andalucía;Viviendas con cosumo entre 9.001 y 10.000 kwh;23.018
01 Andalucía;Viviendas con consumo mayor de 10.000 kwh;60.581
04 Almería;Viviendas totales;433.763
04 Almería;Viviendas vacías;73.222
04 Almería;Mediana consumo anual;2.333
04 Almería;Viviendas con bajo consumo;16.069
04 Almería;Viviendas de uso esporádico;45.653
04 Almería;Viviendas de uso esporádico (entre 251 y 500 kwh);23.229
04 Almería;Viviendas de uso esporádico (entre 501 y 750 kwh);22.424
04 Almería;Viviendas con cosumo entre 751 y 1.000 kwh;21.060
04 Almería;Viviendas con cosumo entre 1.001 y 2.000 kwh;80.169
04 Almería;Viviendas con cosumo entre 2.001 y 3.000 kwh;71.340
04 Almería;Viviendas con cosumo entre 3.001 y 4.000 kwh;52.852
04 Almería;Viviendas con cosumo entre 4.001 y 5.000 kwh;32.573
04 Almería;Viviendas con cosumo entre 5.001 y 6.000 kwh;17.615
04 Almería;Viviendas con cosumo entre 6.001 y 7.000 kwh;9.267
04 Almería;Viviendas con cosumo entre 7.001 y 8.000 kwh;4.861
04 Almería;Viviendas con cosumo entre 8.001 y 9.000 kwh;2.715
04 Almería;Viviendas con cosumo entre 9.001 y 10.000 kwh;1.708
04 Almería;Viviendas con consumo mayor de 10.000 kwh;4.659
04001 Abla;Viviendas totales;1.076
04001 Abla;Viviendas vacías;225
04001 Abla;Mediana consumo anual;1.536
04001 Abla;Viviendas con bajo consumo;79
04001 Abla;Viviendas de uso esporádico;173
04001 Abla;Viviendas de uso esporádico (entre 251 y 500 kwh);100
04001 Abla;Viviendas de uso esporádico (entre 501 y 750 kwh);73
04001 Abla;Viviendas con cosumo entre 751 y 1.000 kwh;87
04001 Abla;Viviendas con cosumo entre 1.001 y 2.000 kwh;209
04001 Abla;Viviendas con cosumo entre 2.001 y 3.000 kwh;123
04001 Abla;Viviendas con cosumo entre 3.001 y 4.000 kwh;80
04001 Abla;Viviendas con cosumo entre 4.001 y 5.000 kwh;47
04001 Abla;Viviendas con cosumo entre 5.001 y 6.000 kwh;21
04001 Abla;Viviendas con cosumo entre 6.001 y 7.000 kwh;13
04001 Abla;Viviendas con cosumo entre 7.001 y 8.000 kwh;5
04001 Abla;Viviendas con cosumo entre 8.001 y 9.000 kwh;3
04001 Abla;Viviendas con cosumo entre 9.001 y 10.000 kwh;3
04001 Abla;Viviendas con consumo mayor de 10.000 kwh;8
04002 Abrucena *;Viviendas totales;921
04002 Abrucena *;Viviendas vacías;139
04002 Abrucena *;Mediana consumo anual;1.646
04002 Abrucena *;Viviendas con bajo consumo;67
04002 Abrucena *;Viviendas de uso esporádico;161
04002 Abrucena *;Viviendas de uso esporádico (entre 251 y 500 kwh);89
04002 Abrucena *;Viviendas de uso esporádico (entre 501 y 750 kwh);72
04002 Abrucena *;Viviendas con cosumo entre 751 y 1.000 kwh;66
04002 Abrucena *;Viviendas con cosumo entre 1.001 y 2.000 kwh;182
04002 Abrucena *;Viviendas con cosumo entre 2.001 y 3.000 kwh;110
04002 Abrucena *;Viviendas con cosumo entre 3.001 y 4.000 kwh;91
04002 Abrucena *;Viviendas con cosumo entre 4.001 y 5.000 kwh;36
04002 Abrucena *;Viviendas con cosumo entre 5.001 y 6.000 kwh;29
04002 Abrucena *;Viviendas con cosumo entre 6.001 y 7.000 kwh;10
